ID ONIX;DESCRICAO;PREFIXO;Embalagem;Unid;Volume;Status
57;CAIXA ADVENTURE 4 x 5 L - 1 CX;CAIXA ADVENTURE 4 x 5 L;1;CX;1;0
58;CAIXA AME 6.16 kg - 1 CX;CAIXA AME 6.16 kg;1;CX;1;0
59;CAIXA ARROZ + SCORE - 1 CX;CAIXA ARROZ + SCORE;1;CX;1;0
60;CAIXA ARROZ FUNGICIDAS 12 L - 1 CX;CAIXA ARROZ FUNGICIDAS 12 L;1;CX;1;0
61;CAIXA CAFÉ FORTE 21 kg - 1 CX;CAIXA CAFÉ FORTE 21 kg;1;CX;1;1
62;CAIXA CONFIANZA 21.025 kg - 1 CX;CAIXA CONFIANZA 21.025 kg;1;CX;1;0
63;CAIXA CRUISER ON FARM 20 L - 1 CX;CAIXA CRUISER ON FARM 20 L;1;CX;1;0
64;CAIXA FERRUGEM 2 16 kg - 1 CX;CAIXA FERRUGEM 2 16 kg;1;CX;1;0
65;CAIXA FUNGICIDA SOJA PRIORI 20 L - 1 CX;CAIXA FUNGICIDA SOJA PRIORI 20 L;1;CX;1;0
66;CAIXA FUNGICIDA SOJA SCORE - 1 CX;CAIXA FUNGICIDA SOJA SCORE;1;CX;1;1
67;CAIXA HUKK 4 x 5 kg - 1 CX;CAIXA HUKK 4 x 5 kg;1;CX;1;0
68;CAIXA PERCEVEJO 20 L - 1 CX;CAIXA PERCEVEJO 20 L;1;CX;1;0
69;CAIXA SCORE-MERTIN 16 L - 1 CX;CAIXA SCORE-MERTIN 16 L;1;CX;1;0
70;CAIXA SOJA COMPLETA 20 L - 1 CX;CAIXA SOJA COMPLETA 20 L;1;CX;1;0
71;CAIXA SPODOPTERA 12 L - 1 CX;CAIXA SPODOPTERA 12 L;1;CX;1;0
72;CAIXA TRIGO 5.2 kg - 1 CX;CAIXA TRIGO 5.2 kg;1;CX;1;1
73;CAIXA V&P MAIS MAXIM XL 20 L - 1 CX;CAIXA V&P MAIS MAXIM XL 20 L;1;CX;1;1
74;CAIXA VIGOR E PRAGA SUL 6 L - 1 CX;CAIXA VIGOR E PRAGA SUL 6 L;1;CX;1;0
75;CALLISTO - 250 ML;CALLISTO;250;ML;0.25;1
76;CALLISTO - 1 L;CALLISTO;1;L;1;1
77;CALLISTO - 5 L;CALLISTO;5;L;5;1
78;CALLISTO - 20 L;CALLISTO;20;L;20;1
79;CERCOBIN 500SC - 6 L;CERCOBIN 500SC;6;L;6;0
80;CERCOBIN 700WP - 1 KG;CERCOBIN 700WP;1;KG;1;0
81;CHART 600 G - 600 G;CHART 600 G;600;G;0.6;0
82;CHESS 500 WG - 100 G;CHESS 500 WG;100;G;0.1;1
83;CHESS 500 WG - 1 KG;CHESS 500 WG;1;KG;1;1
84;CHESS 500 WG - 20 KG;CHESS 500 WG;20;KG;20;1
85;COBRE ATAR - 1 KG;COBRE ATAR;1;KG;1;0
86;COBRE ATAR - 3 KG;COBRE ATAR;3;KG;3;0
87;COBRE ATAR - 25 KG;COBRE ATAR;25;KG;25;0
88;COBRE SANDOZ BR - 1 KG;COBRE SANDOZ BR;1;KG;1;0
89;COBRE SANDOZ BR - 3 KG;COBRE SANDOZ BR;3;KG;3;0
90;COBRE SANDOZ BR - 25 KG;COBRE SANDOZ BR;25;KG;25;0
91;CORDIAL 100 - 1 L;CORDIAL 100;1;L;1;1
92;CRUISER 350 FS - 250 ML;CRUISER 350 FS;250;ML;0.25;1
93;CRUISER 350 FS - 1 L;CRUISER 350 FS;1;L;1;1
94;CRUISER 350 FS - 5 L;CRUISER 350 FS;5;L;5;1
95;CRUISER 350 FS - 20 L;CRUISER 350 FS;20;L;20;1
96;CRUISER 350 FS - 1000 L;CRUISER 350 FS;1000;L;1000;1
